item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,sourceDate,psid
Q47514851,Charles Kibiru,Q327591,IND,Q2230311,Kirinyaga County,2017-08-31,,2022-04-06,Q47514851-B8679DBA-F9D1-4D89-95BA-6762FFEFC525
Q47516259,Christine Zawadi Gona,,,,,2017-08-31,,,Q47516259-34972615-CD50-4A5B-BF68-4A8230F88BE0
Q47514911,Christopher Langat,Q27963537,Jubilee Party of Kenya,Q891952,Bomet County,2017-08-31,,2022-04-06,Q47514911-765DA244-C419-4F08-A6E7-396C8B384AB0
Q47514910,Cleophas Malala,Q47489380,Amani National Congress,Q1721867,Kakamega County,2017-08-31,,2022-04-06,Q47514910-3990CF06-A19C-4C50-84AD-5CBF5D28A59B
Q47514898,Enock Wambua,Q5251223,WDM-K,Q1722597,Kitui County,2017-08-31,,2022-04-06,Q47514898-C21942E5-D235-41D0-8952-F56323F8B316
Q5382308,Ephraim Maina,Q27963537,Jubilee Party of Kenya,Q749665,Nyeri County,2017-08-31,,,Q5382308-FAE952F6-76FE-4ECF-84D6-E814E71432F8
Q47516262,Falhada Dekow Iman,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q47516262-1AE43F87-C6F0-4C31-8F43-C6F67937648A
Q47516260,Farhiya Ali Haji,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q47516260-8BBC4901-2529-4C39-89BD-88E5E9B4C348
Q5498498,Frederick Outa Otieno,Q1640905,ODM,Q1743809,Kisumu County,2017-08-31,,,Q5498498-89B9C6E5-5FC9-4788-8305-15F5CCD28D7D
Q5541326,George Khaniri,Q30589468,National Super Alliance,Q1313202,Vihiga County,2017-08-31,,,Q5541326-EBEBCC34-CDDF-4AB5-A344-1B46651FCA62
Q47516263,Getrude Musuruve Inimah,Q1640905,ODM,,,2017-08-31,,,Q47516263-6A2B2202-B740-483B-8CE3-2FA4D258C6C7
Q11249433,Gideon Moi,Q1422517,KANU,Q808201,Baringo County,2017-08-31,,,Q11249433-F5D151A2-6867-46B5-87B1-3639CC03D385
Q47514914,Godana Hargura,Q27963537,Jubilee Party of Kenya,Q1323683,Marsabit County,2017-08-31,,,Q47514914-86E9B8D5-865E-4E4F-BCBA-853F9E66710A
Q47514830,Golich Juma Wario,Q27963537,Jubilee Party of Kenya,Q383150,Tana River County,2017-08-31,,,Q47514830-BC638DA8-AB8C-47B9-BAE4-8C3F36C1377D
Q28113009,Irungu Kang'ata,Q27963537,Jubilee Party of Kenya,Q1781723,Muranga County,2017-08-31,,,Q28113009-AB1F31F0-252B-4012-943B-EFEC1F63375B
Q20744564,Isaac Mwaura,,,,,2017-08-31,,,Q20744564-0C593930-51E3-40FC-9B39-DA444D499C90
Q6140639,James Orengo,Q30589468,National Super Alliance,Q3482913,Siaya County,2017-08-31,,,Q6140639-5489968E-7D5A-4D64-BE76-9D92B31BD740
Q47514797,John Nderitu,Q27963537,Jubilee Party of Kenya,Q1800699,Laikipia County,2017-08-31,,2022-04-06,Q47514797-0924B44A-D123-4D4A-84CF-B756D7AEE423
Q47514877,Johnes Mwashushe Mwaruma,Q1640905,ODM,Q7193788,Taita–Taveta County,2017-08-31,,,Q47514877-F7579B6B-E21A-481F-A876-37F60C7B7C56
Q47516276,Judith Ramaita Pareno,,,,,2017-08-31,,,Q47516276-FBEF8655-8890-4DB1-BC9A-B9C08322E6A7
Q28131389,Kennedy Mong'are Okong'o,Q1640905,ODM,Q1569613,Nyamira county,2017-08-31,,,Q28131389-560034DB-0CAB-4C3D-AADD-706BBEAA10D8
Q47514897,Kimani Wamatangi,Q27963537,Jubilee Party of Kenya,Q2575594,Kiambu County,2017-08-31,,2022-04-06,Q47514897-D7B64FAE-D084-4CC0-B8BE-BEB6EA42A6C7
Q46556896,Kipchumba Murkomen,Q27963537,Jubilee Party of Kenya,Q15216433,Elgeyo-Marakwet County,2017-08-31,,,Q46556896-5275EF1E-3F74-4323-B432-7AD007470160
Q47514805,Kithure A. Kindiki,Q27963537,Jubilee Party of Kenya,Q2189432,Tharaka Nithi County,2017-08-31,,2022-04-06,Q47514805-A00BDDAB-8757-461C-80C7-B4FAEEAE7F3E
Q47514883,Malachy Charles Ekal Imana,Q1640905,ODM,Q1633078,Turkana County,2017-08-31,,,Q47514883-95E86402-70C7-4778-9741-18F363611FF9
Q6759579,Margaret Kamar,Q27963537,Jubilee Party of Kenya,Q1121429,Uasin Gishu County,2017-08-31,,,Q6759579-CBBDC491-A27D-4538-A2BA-943FD3138F88
Q47516278,Mary Yiane Seneta,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q47516278-8BAB31CC-F432-400E-BFB9-E30C1EE1D865
Q47516257,Mercy Chebeni,Q1640905,ODM,,,2017-08-31,,,Q47516257-B3A5C827-69EC-4B1E-ACE7-324FBF30F730
Q47514852,Michael Maling’a Mbito,Q27963537,Jubilee Party of Kenya,Q1278653,Trans-Nzoia county,2017-08-31,,2022-04-06,Q47514852-15171436-143A-499D-99FE-A9C34AAB3EF4
Q47516275,Millicent Omanga,,,,,2017-08-31,,,Q47516275-8F86B767-4730-410B-98A2-E591F36FD93D
Q5491660,Mithika Linturi,Q27963537,Jubilee Party of Kenya,Q15045704,Meru County,2017-08-31,,2022-04-06,Q5491660-1AB14D42-1FAE-43DE-8792-B3C455A393C3
Q47514900,Mohamed Faki Mwinyihaji,Q30589468,National Super Alliance,Q1112885,Mombasa County,2017-08-31,,,Q47514900-D1CCAE8A-3330-476D-9AC0-1CF2155AD983
Q47514796,Mohamed Maalim Mahamud,Q27963537,Jubilee Party of Kenya,Q1477874,Mandera County,2017-08-31,,,Q47514796-6684A930-B62E-4D81-A61E-2CA72E96FEDD
Q1030776,Mohamed Yusuf Haji,Q27963537,Jubilee Party of Kenya,Q1494292,Garissa County,2017-08-31,,,Q1030776-65C78795-F1DA-499B-8FFC-2ACA21BDE908
Q27893074,Moses Otieno Kajwang,Q1640905,ODM,Q1625834,Homa Bay County,2017-08-31,,,Q27893074-67C784AD-4A9E-4A39-8339-AFE968289085
Q58188,Moses Wetangula,Q5473121,Forum for the Restoration of Democracy – Kenya,Q2928204,Bungoma County,2017-08-31,,,Q58188-2BFF6FBA-A5BD-4F41-91AE-FFBC65B7243D
Q47514909,"Mutula Kilonzo, Jr.",Q5251223,WDM-K,Q473717,Makueni County,2017-08-31,,2022-04-06,Q47514909-5971B773-DDFF-43FA-8872-DAFA183AE8D8
Q47516279,Naomi Jilo Waqo,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q47516279-A145A760-31CD-4E08-AC43-3C49C7339CF5
Q47516269,Naomi Shiyonga Masitsa,Q1640905,ODM,,,2017-08-31,,,Q47516269-CDE1EBCE-3297-4DEA-B58B-8D8CB9FB63B0
Q7086213,Olekina Ledama,Q1640905,ODM,Q1852220,Narok County,2017-08-31,,,Q7086213-52195439-0190-4506-83C6-B88388F0B136
Q47514875,Paul Githiomi Mwangi,Q27963537,Jubilee Party of Kenya,Q1714352,Nyandarua County,2017-08-31,,,Q47514875-E328AA16-41BF-4344-B1E2-48859D642EE6
Q7176116,Peter Ndwiga,Q27963537,Jubilee Party of Kenya,Q1335242,Embu County,2017-08-31,,2022-04-06,Q7176116-8C9F2D94-DDCA-4F8B-8B48-DD783B7ED13D
Q47516267,Petronila Were Lokorio,,,,,2017-08-31,,,Q47516267-26DBCF6E-ECE2-472C-8436-83DD13EDA9BE
Q47514806,Phillip Salau Mpaayei,Q27963537,Jubilee Party of Kenya,Q285072,Kajiado County,2017-08-31,,,Q47514806-6DB1AE14-0B2D-49BF-8FDA-672711CDECFD
Q47516274,Rose Ogendo Nyamunga,Q1640905,ODM,,,2017-08-31,,,Q47516274-EC8C58C8-662C-47FB-99D7-DFA7A80D520C
Q28967580,Sakaja Johnson,Q27963537,Jubilee Party of Kenya,Q3335223,Nairobi County,2017-08-31,,,Q28967580-118952CE-3523-4637-A1DB-AD755BBFE15F
Q4705081,Sam Ongeri,Q1640905,ODM,Q1743730,Kisii County,2017-08-31,,,Q4705081-50B45E23-7220-4ED3-8DFE-6AE85B5F8F5F
Q47514820,Samson Cherarkey,Q27963537,Jubilee Party of Kenya,Q1964569,Nandi County,2017-08-31,,2022-04-06,Q47514820-3B2CEBC5-E5DE-48DD-947C-ECF1ECB6752A
Q16734594,Samuel Poghisio,Q1422517,KANU,Q590860,West Pokot County,2017-08-31,,,Q16734594-37422BA5-CBCB-46D3-B0EF-FFBEB38C0B65
Q47514798,Sitswila Amos Wako,Q1640905,ODM,Q1017519,Busia County,2017-08-31,,,Q47514798-D402A5E9-5ADE-454F-999E-99C427FD91F2
Q47514912,Steve Ltumbesi Lelegwe,Q27963537,Jubilee Party of Kenya,Q2096419,Samburu County,2017-08-31,,,Q47514912-564B21C3-FCD2-47B4-B9DF-27DC587B583E
Q47514905,Stewart Madzayo,Q1640905,ODM,Q1741307,Kilifi County,2017-08-31,,2022-04-06,Q47514905-9821F299-9138-40A5-8888-BF1D90CC3DB5
Q47514871,Susan Kihika,Q27963537,Jubilee Party of Kenya,Q1852202,Nakuru County,2017-08-31,,2022-04-06,Q47514871-2714FE22-84B6-49EB-B545-F9BB8AFBE479
Q47516265,Sylvia Mueni Kasanga,Q5251223,WDM-K,,,2017-08-31,,,Q47516265-6659EE51-831D-44BA-8129-12A4B99583BC
Q47516277,Victor Prengei,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q47516277-5D97E5AB-B5B4-4A22-A238-221776FF3EAC
