item,itemLabel,startDate,endDate
Q3308042,Michael Blundell,1955,1959
Q4977935,Bruce McKenzie,1959,1961
Q3308042,Michael Blundell,1961,1962
Q22947832,Wilfrid Havelock,1962,1963
Q4977935,Bruce McKenzie,1963,1970
Q6180863,Jeremiah J.M. Nyagah,1971,1979
Q5561019,Gilbert Kabere M'mbijiwe,1980,1982
Q6937046,Munyua Waiyaki,1982,1984
Q8016314,William Odongo Omamo,1984,1987
Q5360973,Elijah Mwangale,1987,1992
Q2287087,Simeon Nyachae,1993,1996
Q5222951,Darius Msagha Mbela,1997,
Q1954003,Musalia Mudavadi,1998,
Q5112986,Christopher Obure,1999,2001
Q11854485,Bonaya Godana,2001,2002
Q6414699,Kipruto Rono Arap Kirwa,2003,2007
Q195725,William Ruto,2008,2010
Q7405193,Sally Kosgei,2010,2013
Q16195636,Felix Koskei,2013,
