@@,itemlabel,item,startdate,enddate
+++,Michael Blundell,Q3308042,1955,1959
+++,Bruce McKenzie,Q4977935,1959,1961
+++,Michael Blundell,Q3308042,1961,1962
+++,Bruce McKenzie,Q4977935,1963,1970
+++,Jeremiah J.M. Nyagah,Q6180863,1971,1979
+++,Gilbert Kabere M'mbijiwe,Q5561019,1980,1982
+++,Munyua Waiyaki,Q6937046,1982,1984
+++,William Odongo Omamo,Q8016314,1984,1987
+++,Elijah Mwangale,Q5360973,1987,1992
+++,Simeon Nyachae,Q2287087,1993,1996
+++,Darius Msagha Mbela,Q5222951,1997,
+++,Musalia Mudavadi,Q1954003,1998,
+++,Christopher Obure,Q5112986,1999,2001
+++,Bonaya Godana,Q11854485,2001,2002
+++,Kipruto Rono Arap Kirwa,Q6414699,2003,2007
+++,William Ruto,Q195725,2008,2010
+++,Sally Kosgei,Q7405193,2010,2013
->,Felix Koskei,Q16195636,2013-05-15->2013,
---,Willy Bett,Q28134571,2015-12,2018-01-26
---,Mwangi Kiunjuri,Q6944671,2018,2020-01-14
---,Peter Munya,Q7175990,2020-01-14,
