position,person,personID,start,end
President,Uhuru Kenyatta,Q196070,2013-04-09,
Vice-President,William Ruto,Q195725,2013-04-09,
Secretary for Agriculture,Peter Munya,Q7175990,2020-01-14,
Secretary for Defence,Eugene Wamalwa,Q5407838,2021-09-29,
Secretary for East African Community and Northern Corridor Development,Aden Mohammed,Q4682172,2018-07-13,
Secretary for Education,George Magoha,Q46835085,2019-03-26,
Secretary for Energy and Petroleum,Monica Juma,Q47531099,2021-09-30,
Secretary for the Environment,Keriako Tobiko,Q6393880,2018-01-27,
Secretary for Foreign Affairs,Raychelle Omamo,Q12170059,2020-01-14,
Secretary for Health,Mutahi Kagwe,Q16192784,2020-02-28,
"Secretary for Industrialization, Trade and Enterprise Development",Betty Maina,Q100146351,2020-03-02,
Secretary for Information and Communications,Joseph Mucheru,Q6285671,2015-11-25,
Secretary for the Interior,Fred Matiangi,Q16866738,2017-07-08,
Secretary for Lands,Farida Karoney,Q47823441,2018-01-26,
Secretary for Labour,Simon Chelugui,Q100146396,2021-10-19,
Secretary for the National Treasury and Planning,Ukur Yatani Kanacho,Q48472383,2020-01-14,
Secretary for Petroleum and Mining,John Munyes,Q6249843,2018-01-05,
Secretary for Public Service and Gender Affairs,Margaret Kobia,Q47539824,2018-01-26,
"Secretary for Sports, Culture and Heritage",Amina Mohamed,Q4746345,2019-03-02,
Secretary for Tourism,Najib Balala,Q12053090,2013-05-15,
Secretary for Transport,James Wainaina Macharia,Q16193227,2015-11-24,
Secretary for Water and Irrigation,Sicily Kariuki,Q47513060,2020-01-14,
Secretary without portfolio,Raphael Tuju,Q2189073,2018-01-26,
Attorney General,Paul Kihara Kariuki,Q48818015,2018-02-13,
Chief Justice,Martha Koome,Q106641905,2021-05-21,
Speaker of the Senate,Ken Lusaka,Q16845849,2017-08-31,
Speaker of the National Assembly,Justin Muturi,Q16187229,2013-03-28,
Governor of the Central Bank,Patrick Ngugi Njoroge,Q20657447,2015-06-19,
Chief of Defence Forces,Robert Kariuki Kibochi,Q102290636,2020-05-11,
