id,name,relationship,relative,relativename
Q111177853,Lena Moi,spouse,Q193492,
Q111232184,Julius Kandie,spouse,Q16734504,
Q111232458,Nahashon Nyagah,father,Q6180863,
Q111232458,Nahashon Nyagah,sibling,Q6285854,
Q111232458,Nahashon Nyagah,sibling,Q7052649,
Q11249433,Gideon Moi,father,Q193492,
Q16734504,Phyllis Kandie,spouse,Q111232184,
Q16866530,Margaret Gakuo Kenyatta,spouse,Q196070,
Q193492,Daniel arap Moi,child,Q11249433,
Q193492,Daniel arap Moi,spouse,Q111177853,
Q195725,William Ruto,spouse,Q21064137,
Q196070,Uhuru Kenyatta,father,Q173563,
Q196070,Uhuru Kenyatta,mother,Q1984253,
Q196070,Uhuru Kenyatta,sibling,Q5360612,
Q196070,Uhuru Kenyatta,spouse,Q16866530,
Q2013243,Oburu Odinga,father,Q645228,
Q27893074,Moses Otieno Kajwang,sibling,Q47494960,
Q27893074,Moses Otieno Kajwang,sibling,Q7108730,
Q4358037,Moody Awori,sibling,Q393388,
Q46795,Wangari Muta Maathai,child,Q79996197,
Q46795,Wangari Muta Maathai,spouse,Q108664231,
Q47494960,Tom Joseph Francis Kajwang',sibling,Q27893074,
Q57291,Mwai Kibaki,spouse,Q6698396,
Q57657,Raila Odinga,father,Q645228,
Q57657,Raila Odinga,spouse,Q5360754,
Q6285854,Joseph Nyagah,father,Q6180863,
Q6285854,Joseph Nyagah,sibling,Q111232458,
Q6285854,Joseph Nyagah,sibling,Q7052649,
Q65850416,Matthew Adams Karauri,child,Q65847532,
Q66606803,Ken Okoth,sibling,Q85837193,
Q6698396,Lucy Kibaki,spouse,Q57291,
Q6780919,Mary Wambui,father,Q4540107,
Q7045471,Noah Wekesa,child,Q963542,
Q7052649,Norman Nyagah,father,Q6180863,
Q7052649,Norman Nyagah,sibling,Q111232458,
Q7052649,Norman Nyagah,sibling,Q6285854,
Q7108730,Otieno Kajwang,sibling,Q27893074,
Q7172546,Peter Anyang' Nyong'o,child,Q3840847,
Q85837193,Benard Otieno Okoth,sibling,Q66606803,
