item,itemLabel,startDate,endDate,psid
Q102290636,Robert Kariuki Kibochi,2020-05-11,,Q102290636-DD163CF8-37A6-4DDB-88BE-041915D5645E
Q111180185,Daudi Rerimoi Chepkong'a Tonje,1996,2000-11-30,Q111180185-3D5BD91F-BF05-4C84-914D-D00B7BB120D4
Q111180186,Joseph Raymond Edward Kibwana,2000-12-01,2005-08-31,Q111180186-0F722F6E-E0A2-4C94-A7BB-0906AA31B32D
Q111180187,Jeremiah Mutinda Kianga,2005-09-01,2011-07-12,Q111180187-0545BD28-0EE1-41E1-8484-59D0B233609E
Q111180192,Joseph Musyimi Lele Ndolo,1969-06-01,1971-06-24,Q111180192-FE29092F-A17F-469A-BB62-96E4356DF379
Q16730584,Julius Waweru Karangi,2011-07-13,2015-05-04,Q16730584-C4E75960-66DF-485C-A744-4220D7601CE0
Q17068551,Mahamoud Mohamed,1986,1996,Q17068551-DB4F1154-8E6F-4DB2-BC29-1A419626FB2A
Q62010205,Samson Mwathethe,2015-05-05,2020-05-10,Q62010205-CEFCE5A8-820E-4A48-95B5-5B89AD717D2E
Q7348821,Robert Penfold,1966-11-30,1969-05-31,Q7348821-2F5A21A9-E450-4396-967E-96F925C7D89D
Q97358933,Jackson Mulinge,1971-06-25,1986,Q97358933-5785B4F5-A37E-4866-B182-4C8572509DDF
