item,itemLabel,constituency,constituencyLabel,party,partyLabel
"",James Githua Kamau Wamacukuru,Q17088410,Kabete,Q27963537,Jubilee Party
"",Eve Akinyi Obara,Q55615556,Kabondo Kasipul,Q1640905,Orange Democratic Movement
"",James Lusweti Mukwe,Q47463464,Kabuchai,Q5473121,Forum for Restoration of Democracy - Kenya
Q104857250,Mark Lomunokol,Q6344643,Kacheliba,Q7141057,PARTY FOR DEVELOPMENT AND REFORM
"",Joshua Kivinda Kimilu,Q6348628,Kaiti,Q5251223,Wiper Democratic Movement - Kenya
"",Elijah Memusi Kanchory,Q6348981,Kajiado Central,Q1640905,Orange Democratic Movement
"",Peris Pesi Tobiko,Q47463454,Kajiado East,Q27963537,Jubilee Party
"",Joseph Wathigo Manje,Q6348987,Kajiado North,Q27963537,Jubilee Party
"",Katoo Judah KATOO,Q6348985,Kajiado South,Q27963537,Jubilee Party
"",George Risa Sunkuyia,Q55615578,Kajiado West,Q27963537,Jubilee Party
"",Paul Kahindi Katana,Q13123143,Kaloleni,Q1640905,Orange Democratic Movement
"",Yusuf Hassan Abdi,Q6359828,Kamukunji,Q27963537,Jubilee Party
"",Alice Muthoni Wahome,Q6361325,Kandara,Q27963537,Jubilee Party
"",Athanas Misiko Wafula Wamunyinyi,Q6361679,Kanduyi,Q5473121,Forum for Restoration of Democracy - Kenya
"",Clement Muturi Kigano,Q6362689,Kangema,Q27963537,Jubilee Party
"",Fabian Kyule Muli,Q13123144,Kangundo,Q22666185,Muungano Party
"",Samwel Moroto Chumel,Q13640987,Kapenguria,Q27963537,Jubilee Party
Q99337189,Oscar Sudi,Q55615677,Kapseret,Q27963537,Jubilee Party
"",Andrew Adipo Okuome,Q6367802,Karachuonyo,Q1640905,Orange Democratic Movement
"",Mercy Wanjiku Gakuya,Q6374034,Kasarani,Q27963537,Jubilee Party
"",Charles Ong’ondo Were,Q47463474,Kasipul,Q1640905,Orange Democratic Movement
"",Robert Mbui,Q6376607,Kathiani,Q5251223,Wiper Democratic Movement - Kenya
"",James Kipkosgei Murgor,Q6385295,Keiyo North,Q27963537,Jubilee Party
"",Daniel Kipkogei Rono,Q17088491,Keiyo South,Q27963537,Jubilee Party
"",Swarup Ranjan Mishra,Q47463440,Kesses,Q27963537,Jubilee Party
"",Christopher Aseka Wangaya,Q6403457,Khwisero,Q47489380,Amani National Congress
"",Paul Koinange,Q6403727,Kiambaa,Q27963537,Jubilee Party
"",Jude L. Kangethe Njomo,Q47463427,Kiambu,Q27963537,Jubilee Party
"",Benard Otieno Okoth,Q22080473,Kibra,Q1640905,Orange Democratic Movement
"",Jessica Nduku Kiko Mbalu,Q47463423,Kibwezi East,Q5251223,Wiper Democratic Movement - Kenya
"",Patrick Mweu Musimba,Q47463422,Kibwezi West,Q327591,Independent
"",Mathenge James Kanini Kega,Q6405311,Kieni,Q27963537,Jubilee Party
"",Ruth Wangari Mwaniki,Q6405979,Kigumo,Q27963537,Jubilee Party
"",Samson Ndindi Nyoro,Q6406003,Kiharu,Q27963537,Jubilee Party
"",Anthony Kimani Ichung'wah,Q6406448,Kikuyu,Q27963537,Jubilee Party
"",Gideon Sitelu Konchela,Q6406874,Kilgoris,Q27963537,Jubilee Party
"",Owen Yaa Baya,Q18388215,Kilifi North,Q1640905,Orange Democratic Movement
"",Richard Ken Chonga Kiti,Q55615984,Kilifi South,Q1640905,Orange Democratic Movement
