item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,sourceDate,psid
Q47494330,Abdi Koropu Tepo,Q47492848,Kenya Patriots Party,Q6081154,Isiolo South Constituency,2017-08-31,,,Q47494330-3CC3FF12-32DE-4334-A6CE-BA810F9FD5A6
Q47494628,Abdi Mude Ibrahim,Q42954840,Economic Freedom Party,Q17088687,Lafey Constituency,2017-08-31,,,Q47494628-78F2B432-451C-466B-A74D-5021CC03887F
Q47493997,Abdi Omar Shurie,Q27963537,Jubilee Party of Kenya,Q47463409,Balambala Constituency,2017-08-31,,,Q47493997-04001A2A-BB5F-437F-B8DA-20C6D26EBDDC
Q47494273,Abdikhaim Osman Mohamed,Q1422517,KANU,Q5429344,Fafi Constituency,2017-08-31,,,Q47494273-1722C511-02DE-4C20-AA78-26101DCEAEBA
Q16864850,Abdul Rahim Dawood,Q27963537,Jubilee Party of Kenya,Q7055691,North Imenti Constituency,2017-08-31,,,Q16864850-643405F2-B2A2-4FE2-9375-9A49AE4F6F4F
Q47494822,Abdullswamad Sheriff Nassir,Q1640905,ODM,Q6944580,Mvita Constituency,2017-08-31,,,Q47494822-173AA95C-9D0D-43EE-9076-9A4BE1E4215D
Q47494727,Adan Haji Ali,Q27963537,Jubilee Party of Kenya,Q47462269,Mandera South Constituency,2017-08-31,,,Q47494727-E2297687-947C-4530-99B7-465EC7240999
Q47494732,Adan Haji Yussuf,Q42954840,Economic Freedom Party,Q6747986,Mandera West Constituency,2017-08-31,,,Q47494732-05B940F3-86C6-4AB0-986B-F588E75032D7
Q4680594,Adan Keynan Wehliye,Q27963537,Jubilee Party of Kenya,Q47463412,Eldas Constituency,2017-08-31,,,Q4680594-45C25B04-CFC3-44F9-95C7-3FDDCE666026
Q4682154,Aden Duale,Q27963537,Jubilee Party of Kenya,Q17085899,Garissa Township Constituency,2017-08-31,,2022-04-06,Q4682154-71C51CE0-99EE-457C-96BC-6983167D3197
Q47495185,Ahmed Abdisalan Ibrahim,Q1640905,ODM,Q7960717,Wajir North Constituency,2017-08-31,,,Q47495185-B2F8D648-2162-45AC-8045-AAFB880B11B4
Q47495114,Ahmed Bashane Gaal,Q7141057,Party of Development and Reforms,Q47463411,Tarbaj Constituency,2017-08-31,,,Q47495114-3B19149F-67D2-4691-A2CF-C0087F333BE7
Q47495188,Ahmed Kolosh Mohamed,Q1640905,ODM,Q7960720,Wajir West Constituency,2017-08-31,2019,,Q47495188-6E239100-8776-44AC-A936-5AE00D855DEA
Q47495188,Ahmed Kolosh Mohamed,Q27963537,Jubilee Party of Kenya,Q7960720,Wajir West Constituency,2019,,,Q47495188-0c507eee-4f0a-7c37-108d-fd72afddd15c
Q47494720,Aisha Jumwa Karisa Katana,Q1640905,ODM,Q6743727,Malindi Constituency,2017-08-31,,,Q47494720-1A2F0F43-4E7E-4450-825F-C67E5B4BC39F
Q47494265,Alexander Kimutai Kigen Kosgey,Q27963537,Jubilee Party of Kenya,Q17085425,Emgwen Constituency,2017-08-31,,,Q47494265-EB1ECA20-BB2C-4E49-A2A9-0AE7CDE7891D
Q47493940,Alfred Agoi Masadia,Q47489380,Amani National Congress,Q7395935,Sabatia Constituency,2017-08-31,,,Q47493940-42DA4298-1B77-40B5-A43C-5D0AFCF0488D
Q47494850,Alfred Kiptoo Keter,Q27963537,Jubilee Party of Kenya,Q47463441,Nandi Hills Constituency,2017-08-31,,,Q47494850-956674CD-F688-46D9-884A-A37AD099C7C4
Q47494478,Ali Menza Mbogo,Q5251223,WDM-K,Q13123145,Kisauni Constituency,2017-08-31,,,Q47494478-49C1110A-2590-478C-9A5F-69253CD53C16
Q47493953,Ali Wario,Q27963537,Jubilee Party of Kenya,Q4998065,Bura Constituency,2017-08-31,,,Q47493953-BA35757B-0D2E-4C8B-B369-E3148D1CDC27
Q47494295,Ali Wario Guyo,Q5251223,WDM-K,Q5524277,Garsen Constituency,2017-08-31,,,Q47494295-AE7F056D-341E-4535-A03C-B78A7A6D32B6
Q26923586,Alice Muthoni Wahome,Q27963537,Jubilee Party of Kenya,Q6361325,Kandara Constituency,2017-08-31,,,Q26923586-D7054B67-728B-4248-9AE1-6A2FF01FD54E
Q47494993,Alois Musa Lentoimaga,Q27963537,Jubilee Party of Kenya,Q47463432,Samburu North Constituency,2017-08-31,,,Q47494993-353CBCFE-BC0F-4C92-B6F2-725E31FD37B2
Q47494637,Amin Deddy Mohamed Ali,Q27963537,Jubilee Party of Kenya,Q6473833,Laikipia East Constituency,2017-08-31,,,Q47494637-6DA5316C-6853-4B0F-95AA-12AA0824F0E4
Q47490056,Amina Gedow Hassan,Q42954840,Economic Freedom Party,Q1477874,Mandera County,2017-08-31,,,Q47490056-F6C862AB-0D3E-4C96-8FD4-CEB31429329E
Q2843930,Amos Kimunya,Q27963537,Jubilee Party of Kenya,Q13122881,Kipipiri Constituency,2017-08-31,,,Q2843930-C63C57D4-58F3-4CF0-991D-CFA329B2CDC9
