@@,item,name,party,constituency,psid
->,Q47493997,Abdi Omar Shurie,Q27963537,Q47463409->Q55604755,Q47493997-04001A2A-BB5F-437F-B8DA-20C6D26EBDDC
->,Q47494761,Anthony Tom Oluoch,Q1640905,Q47462553->Q55622420,Q47494761-F046FE83-DC01-4339-8954-F9C80F681540
->,Q47494460,Chrisantus Wamalwa Wakhungu,Q5473121,Q47463434->Q55616016,Q47494460-BBD4B719-8054-4E6D-AE76-9F89A5FBBB86
->,Q47493956,Christopher Omulele,Q1640905,Q47463463->Q55621397,Q47493956-D2E227D9-2499-49BC-BB74-FF594428095C
->,Q47495190,Daniel Wanyama Sitati,Q27963537,Q47463466->Q55637503,Q47495190-ADDA285B-3EF3-4ED2-9FC9-F821AC29DB7C
->,Q47493905,David Gikaria,Q27963537,Q47463452->Q55624571,Q47493905-2FC72B60-B5B2-444C-AEAE-5B6E9603D0CC
->,Q47494338,Eve Akinyi Obara,Q1640905,Q6374553->Q55615556,Q47494338-DC1E3156-8C05-4019-9B26-34A8DF320F2B
->,Q47494858,Gabriel Koshal Tongoyo,Q47492863->Q60776120,Q47463453,Q47494858-308DB35C-E0F8-44C1-B6E8-32F780D91946
->,Q47494355,George Risa Sunkuyia,Q27963537,Q30687313->Q55615578,Q47494355-3C0D408E-C706-4D18-B59A-0C5121A0F4CF
->,Q47494225,Gideon Kimutai Koske,Q47492863->Q60776120,Q5091695,Q47494225-D3FAC8EE-0713-49F3-9D43-3DE0626D32CC
->,Q47493910,Isaac Waihenya Ndirangu,Q27963537,Q47462592->Q55632063,Q47493910-EE465459-04C9-4A97-88C5-9ED996BEF3F6
->,Q111190431,"John Njuguna Wanjiku->Wanjiku, John Njuguna",,Q6403727,Q111190431-663B554B-8923-4651-B0A3-332304BBEBFA
---,Q47494410,Kenneth Odhiambo Okoth,Q1640905,Q22080473,Q47494410-8C447729-42E6-4AB1-AA36-94003B7C45A4
->,Q47494619,Mathias Nyamabe Robi,Q27963537,Q47463481->Q55616293,Q47494619-75C14078-1BCB-4096-9AA5-BF53A2AAAB33
->,Q6799567,Mbadi John Ng'ongo,Q1640905,Q47462489->Q55634139,Q6799567-D55B6757-E5C5-449E-AFE3-14C3EF3EB24D
->,Q47494192,Miruka Ondieki Alfah,Q6392670,Q47463485->Q55605716,Q47494192-4422157F-7FE5-46FD-9F8B-E745524DBAD7
->,Q47493992,Onesmas Ngunjiri,Q27963537,Q45390855->Q55604710,Q47493992-CEBB0084-7C40-4186-BC07-A0336A4C69F2
->,Q47494377,Oscar Sudi,Q27963537,Q47463439->Q55615677,Q47494377-6E96C102-CE7C-43A6-943A-4C67DF01958B
->,Q47495130,Patrick Kimani Wainaina Jungle,Q327591,Q47463425->Q55635690,Q47495130-481E766B-4A32-4AC7-9355-2D96212D9499
---,Q47494404,Paul Koinange,Q27963537,Q6403727,Q47494404-A4A5D973-600A-4B07-A210-97F838C69DE5
->,Q47494438,Richard Ken Chonga Kiti,Q1640905,Q47463407->Q55615984,Q47494438-6F852853-47B5-4F5D-9D93-589138803108
->,Q47494792,Silas Kipkoech Tiren,Q27963537,Q47463437->Q55623569,Q47494792-311C29B9-7EE5-434D-8C1A-E658EEC10C02
->,Q47495132,William Kamket Kassait,Q1422517,Q47463443->Q55635838,Q47495132-5195DB7E-9A8F-4F06-83B6-93A67DCD4CE4
->,Q47494929,William Kamoti Mwamkale,Q1640905,Q47463408->Q55631013,Q47494929-BDE46F3A-06D8-4178-9949-F95E584B9368
