@@,itemlabel,item,startdate,enddate
+++,Bernard Mate,Q4893416,1961,1963
+++,Njoroge Mungai,Q21151340,1963,
+++,Samuel Ole Tipis,,1963,
+++,Joseph David Otiende,,1965,
+++,Mwai Kibaki,Q57291,1988,1991
->,Charity Ngilu->Charity Kaluki Ngilu,Q539821,2003-01-03->2003,2007-10-06->2007
+++,Peter Anyang Nyong'o,Q7172546,2008,2012
+++,Beth Mugo,Q4897658,2008,2012
+++,James Wainaina Macharia,Q16193227,2013,2015
+++,Cleopa Kilonzo Mailu,Q28777344,2015,2017
->,Sicily Kariuki,Q47513060,2018-01->2018,2020-01->2020
->,Mutahi Kagwe,Q16192784,2020-02-28->2020,
