item,itemLabel,startDate,endDate,psid
Q16192784,Mutahi Kagwe,2020-02-28,,Q16192784-0187F3F1-352B-4D10-BFD6-8444DB3B8AEE
Q16193227,James Wainaina Macharia,2013,2015,Q16193227-59087ABC-3C01-4FF1-9CB0-3A36EE338DCF
Q28777344,Cleopa Kilonzo Mailu,2015,2017,Q28777344-101D5714-5269-448B-8243-03D1492FECE4
Q47513060,Sicily Kariuki,2018-01,2020-01,Q47513060-FEFE1CD9-99F4-4336-A98A-80F7B0D98F0B
Q4897658,Beth Wambui Mugo,2008,2012,Q4897658-BB713629-FDDE-4679-A449-EB8ED0C5C6DE
Q539821,Charity Ngilu,2003-01-03,2007-10-06,Q539821-5875F69C-730B-4E6E-B34C-D726FD427F05
Q7172546,Peter Anyang' Nyong'o,2008,2012,Q7172546-68EDAF74-BD67-463D-8EA8-62E31C5B6152
