@@,item,name,gender,party,psid
---,Q6780919,Mary Wambui,female,,Q6780919-41823252-479c-86e5-05c2-40f03a9ffdb3
->,Q47493958,Mathenge James Kanini Kega->James Mathenge Kanini Kega,male,Q7193584,Q47493958-6E16E05F-30E2-42C0-86E9-087D56C06203
->,Q6799567,Mbadi John Ng'ongo->John Mbadi Ng'ong'o,male,Q1640905,Q6799567-008026A9-A670-47B5-B9D6-94702ABA419F
->,Q47494354,Metito Judah Katoo->Judah ole Metito,male,Q7193584,Q47494354-2DB07C28-46CA-491B-A64F-E9185880305C
->,Q47495077,Millie Grace Akoth Odhiambo->Millie Grace Akoth Odhiambo Mabona,female,Q1640905,Q47495077-C91A1429-E501-4433-B23F-D40DE5FE4377
->,Q47494664,Mishi Juma Khamisi Mboko->Mishi Juma Khamisi,female,Q1640905,Q47494664-B0B018F8-8CE3-4E42-B34B-89B703F86DCB
->,Q47494238,Mohamed Dahir Duale->Dr. Mohamed Dahir Duale,male,Q1640905,Q47494238-5D3A1546-2F65-4167-A628-28A3625E44A8
->,Q6891343,Mohamed Maalim Mohamud->Eng Maalim Mohamud Mohamed,male,Q7889105,Q6891343-45D5EEED-E8FB-4E66-B6E9-26EEB94D7FB6
+++,,Moses Somoine ole Sakuda,male,Q7193584,
---,Q16733692,Moses ole Sakuda,male,Q7193584,Q16733692-10A5CD07-4814-4DDA-A241-8A2BF3F2D601
->,Q6943746,Mutava Musyimi->Rev. Mutava Musyimi,male,Q7193584,Q6943746-B5960F16-72BF-4105-ABD6-755CEBF47F84
---,Q43927930,Muthomi Njuki,male,Q15980825,Q43927930-76A4C053-2008-4672-8B1F-9800B229DEC0
->,Q6944629,Mwalimu Masudi Mwahima->Mwalimu Masoud Mwahima,male,Q1640905,Q6944629-49F8E6B2-CD3E-461F-B6DA-267F35C4980B
->,Q16885582,Naomi Shaban->Dr. Naomi Shaban,female,Q7193584,Q16885582-DFCBC67D-7960-4167-8C00-A88C85CB39D1
->,Q6990527,Nelson Gaichuhie->Nelson Ributhi Gaichuhie,male,Q7193584,Q6990527-97AF651A-8B76-4ABA-B181-C280DC63404D
->,Q7025483,Nicholas Gumbo->Eng. Nicholas Gumbo,male,Q1640905,Q7025483-B4AD6AD5-6414-4C74-94BE-6538C7174587
->,Q2013243,Oburu Odinga->Dr. Oburu Odinga,male,Q1640905,Q2013243-3CA04205-B382-48A0-BEA7-5655D3C713E7
->,Q47490071,Ombaka Christine Oduor->Christine Oduor Ombaka,female,Q1640905,Q47490071-81FBFA6D-0C8C-423C-95B3-8C3938AE72AF
+++,,Onesmus Muthomi Njuki,male,Q15980825,
---,Q111189911,Patrick Maweu Musimba,male,,Q111189911-7E49E951-7D6A-411B-996D-B943D534555E
->,Q47494421,Patrick Mweu Musimba->Dr. Patrick Mweu Musimba,male,Q327591,Q47494421-248BAE10-4F05-410C-98C6-BDD3F35D4EA7
->,Q7152844,Paul Otuoma->Dr. Paul Otuoma,male,Q1640905,Q7152844-6DA89E71-CF6B-4BC3-9713-FF0AF6413F78
->,Q47493974,Paul Simba Arati->Paul Arati Simba,male,Q1640905,Q47493974-DA797957-3870-43A7-913D-B4AABB81D3C6
->,Q16886147,Peris Tobiko->Peris Pesi Tobiko,female,Q7193584,Q16886147-D85AD658-FD20-4D57-A2D9-9D3B796DB931
->,Q47494506,Rachael Kaki Nyamai->Dr Rachael Kaki Nyamai,female,Q3130920,Q47494506-0EF0A57B-65CF-45DB-8166-D68061FCE0C0
---,Q107222476,Rachel Shebesh,female,Q7193584,Q107222476-AD82AC37-E59B-4562-9058-EF75EBE11C57
+++,,Rachel Wambui Shebesh,female,Q7193584,
->,Q7293983,Raphael Lentimalo->Raphael Lakalei Letimalo,male,Q7193584,Q7293983-46BBB7F9-5CAA-4383-9A5D-8F0C7C019D2C
---,Q111188238,Reginalda Nakhumicha Wanyonyi,female,Q7007666,Q111188238-20AC37BC-ED65-42DB-8C5D-170D8C4CB3EF
---,Q22279006,Richard Makenga,male,Q5251223,Q22279006-B7DDBF71-0FEE-47C5-AE38-B9E749C02D44
+++,,Richard Makenga Katemi,male,Q5251223,
->,Q47493933,Richard Moitalei Ole Kenta->Richard Moitalel ole Kenta,male,Q7193584,Q47493933-01E45263-3C18-4BA0-9B91-62461146B201
->,Q7327862,Richard Momoima Onyonka->Richard Onyonka,male,Q1640905,Q7327862-77848D30-3BDF-4E5E-9CB9-3952E8746674
->,Q47494847,Sakwa John Bunyasi->John Sakwa Bunyasi,male,Q7887687,Q47494847-468CDD9A-4654-46A0-89AB-6265B2EF8091
->,Q47494639,Sarah Paulata Korere->Sara Paulata Korere,female,Q7889105,Q47494639-898646E3-858B-47FE-8A5A-8EF7F833C9DD
->,Q47494644,Sharif Athman Ali->Shariff Athman Ali,male,Q7887687,Q47494644-EB24EE1C-08C0-49AD-8878-45CB225A5AC9
---,Q111188239,Simon Ogari,male,Q327591,Q111188239-0EBD1E65-C3E3-4E11-9184-DBE8CCA7E34E
->,Q16842239,Sonia Birdi->Sunjeev Kour Birdi,female,Q7889105,Q16842239-9A5DB6BE-8A44-4BFA-8EBB-E94E11F74F2A
---,Q111189933,Stephen Kariuki,male,,Q111189933-B95622C2-1120-4324-B1BC-0CDDE72DD530
---,Q111188247,Stephen Muriuki Ngare,male,Q7193584,Q111188247-301E6D05-1FA9-4011-838B-E2DD4B4583BD
->,Q47493967,Suleiman Dori->Suleiman Dori Ramadhani,male,Q1640905,Q47493967-5FC876FA-3DA7-4AFC-A554-743BAAB27D18
---,Q111190513,Suleiman Masoud,,,Q111190513-6797C0F5-FA44-4694-864E-B74A18922E03
---,Q111188240,Susan Mbinya Musyoka,female,Q5251223,Q111188240-F8FCC803-A22B-4657-B05B-256A980F0597
->,Q7791963,Thomas Ludindi Mwadeghu->Thomas Mwadeghu,male,Q1640905,Q7791963-E42EF509-C5D3-4D4A-A5A1-77AE860078A1
+++,,Timothy Moseti . E Bosire,male,Q1640905,
---,Q111188352,Timothy Moseti Bosire,male,Q1640905,Q111188352-7D05C301-8822-4AE6-B6D7-A5BB4B29E3B1
---,Q7809140,Tiras Nyingi Ngahu,male,,Q7809140-5BF3DEBC-5071-4D41-BFCA-EA84833A297C
->,Q47494960,Tom Joseph Francis Kajwang'->Tom Joseph Kajwang',male,Q1640905,Q47494960-D79CD10A-FADE-489F-81C6-EA7FADBAD853
---,Q111189927,Tong'i Richard Nyagaka,male,,Q111189927-A0AAC367-D57B-41BA-9EA6-2380D5013F77
->,Q7926175,Victor Munyaka->Victor Kioko Munyaka,male,Q5069325,Q7926175-1F6A9C53-033C-4050-A6B4-258C1DFE2E79
->,Q447119,Wesley Korir->Wesley Kipchumba Korir,male,Q1640905->Q327591,Q447119-C648640F-352F-4045-B736-36B3E8948CFE
->,Q8000077,Wilber Otichilo->Wilber Ottichilo Khasilwa,male,Q1640905,Q8000077-6FA1E5A0-12DA-4551-9B71-E493F9CF8444
->,Q8014046,William Kipkorir->William Kipkiror,male,Q7889105,Q8014046-088CF4D6-BE63-43AB-A12C-2422A3AF5327
+++,,William Maina Kamanda,male,Q7193584,
---,Q111188267,Willy Mtengo,male,Q1640905,Q111188267-86314DF5-AA99-4725-8312-4CA2DC00BA7A
->,Q8061937,Yusuf Chanzu->Yusuf Kifuma Chanzu,male,Q7887687,Q8061937-A216A18B-5BD9-4B3B-B70C-67295AADA97F
->,Q8065041,Zakayo Cheruiyot->Zakayo Kipkemoi Cheruiyot,male,Q7889105,Q8065041-4823B4B5-0748-4A00-BEAF-5E8868842877
->,Q8068252,Zebedeo John Opore->John Zebedeo Opore,male,Q5473122,Q8068252-3D854C48-65F2-42FC-A9CD-4228951DA5C4
->,Q47490050,Zuleikha Ju Ma Hassan->Zulekha Juma Hassan,female,Q1640905,Q47490050-0BBF3C3C-BBEC-4F71-AF9B-B559A6F22F3B
