item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
Q4663137,Ababu Namwamba,Q1640905,Orange Democratic Movement,,Budalangi,,,male
,Abass Sheikh Mohamed,Q7889105,United Republican Party,,Wajir East,,,male
,Abdi Noor Mohammed Ali,Q7889105,United Republican Party,,,,,male
,Abdikadir Omar Aden,Q1640905,Orange Democratic Movement,,Balambala,,,male
,Abdikadir Ore Ahmed,Q1640905,Orange Democratic Movement,,Wajir West,,,male
Q16864850,Abdul Rahim Dawood,Q15980825,Alliance Party of Kenya,,North Imenti,,,male
,Abdulaziz Ali Farah,Q7889105,United Republican Party,,Mandera East,,,male
,Abdullahi Jaldesa Banticha,Q7889105,United Republican Party,,Isiolo South,,,male
Q47494822,Abdulswamad Sheriff Nassir,Q1640905,Orange Democratic Movement,,Mvita,,,male
Q4680594,Adan Keynan,Q1640905,Orange Democratic Movement,,Eldas,,,male
,Adan Mohamed Nooru,Q7889105,United Republican Party,,Mandera North,,,male
Q4682154,Aden Bare Duale,Q7889105,United Republican Party,,Garissa Township,,,male
Q47494720,Aisha Jumwa Katana,Q1640905,Orange Democratic Movement,,Kilifi,,,female
Q4717538,Alex Muthengi Mburi Mwiru,Q7889105,United Republican Party,,Tharaka,,,male
Q47494265,Alexander Kimutai Kigen Kosgey Kosgey,Q7889105,United Republican Party,,Emgwen,,,male
Q47493940,Alfred Agoi Masadia,Q7887687,United Democratic Forum Party,,Sabatia,,,male
Q47494850,Alfred Kiptoo Keter,Q7889105,United Republican Party,,Nandi Hills,,,male
Q47493953,Ali Wario,Q7193584,The National Alliance,,Bura,,,male
Q26923586,Alice Muthoni Wahome,Q7193584,The National Alliance,,Kandara,,,female
,Alice Nyanchoka Chae,Q1640905,Orange Democratic Movement,,Nyamira,,,female
,Alice Wambui Ng'ang'a,Q7193584,The National Alliance,,Thika Town,,,female
Q47494993,Alois Musa Lentoimaga,Q7193584,The National Alliance,,Samburu North,,,male
,Amina Abdalla,Q7193584,The National Alliance,,,,,female
Q47494827,Andrew Mwadime,Q1640905,Orange Democratic Movement,,Mwatate,,,male
,Andrew Toboso Anyanga,Q1640905,Orange Democratic Movement,,Butere,,,male
,Annah Nyokabi Gathecha,Q7193584,The National Alliance,,Kiambu,,,female
Q47494431,Anthony Kimani Ichung'Wah,Q7193584,The National Alliance,,Kikuyu,,,male
,Anthony Mutahi Kimaru,Q7193584,The National Alliance,,Laikipia East,,,male
,Arthur Papa Odera,Q7889105,United Republican Party,,Teso North,,,male
Q4807410,Asman Kamama,Q7889105,United Republican Party,,Tiaty,,,male
Q47493900,Athanas Misiko Wafula Wamunyinyi,Q5473121,Ford Kenya,,Kanduyi,,,male
,Augostinho Neto Oyugi,Q1640905,Orange Democratic Movement,,Ndhiwa,,,male
Q47494687,Ayub Savula Angatia,Q7887687,United Democratic Forum Party,,Lugari,,,male
Q47493964,Bady Twalib Bady,Q5251223,Wiper democratic Movement Kenya,,Jomvu,,,male
Q47490074,Beatrice Nkatha Nyaga,Q7193584,The National Alliance,,Tharaka-Nithi,,,female
Q47493961,Ben George Orori Momanyi,Q5251223,Wiper democratic Movement Kenya,,Borabu,,,male
,Benard Kipkirui Bett,Q7889105,United Republican Party,,Bomet East,,,male
Q47494323,Benard Masaka Shinali,Q7887687,United Democratic Forum Party,,Ikolomani,,,male
,Benjamin Andola Andayi,Q1640905,Orange Democratic Movement,,Khwisero,,,male
Q4888887,Benjamin Jomo Washiali,Q7887687,United Democratic Forum Party,,Mumias East,,,male
,Benjamin Kipkirui Langat,Q7889105,United Republican Party,,Ainamoi,,,male
Q16226678,Benson Itwiku Mbai,Q5473122,Ford People,,Masinga,,,male
Q47494484,Benson Makali Mulu,Q5251223,Wiper democratic Movement Kenya,,Kitui Central,,,male
,Benson Mutura Kangara,Q7193584,The National Alliance,,Makadara,,,male
Q4723395,Bernard Alfred Wekesa Sambu,Q7887687,United Democratic Forum Party,,Webuye East,,,male
,Bernard Munywoki Kitungi,Q5251223,Wiper democratic Movement Kenya,,Mwingi West,,,male
,Bishop Robert Mutemi Mutua,Q5251223,Wiper democratic Movement Kenya,,,,,male
,Bonface Okhiya Otsiula,Q7007666,New Ford Kenya,,Bumula,,,male
Q16866303,Boniface Gatobu Kinoti,Q327591,Independent,,Buuri,,,male
Q5131380,Captain Clement Muchiri Wambugu,Q7193584,The National Alliance,,Mathioya,,,male
,Cecilia Chelangat Ngetich,Q7889105,United Republican Party,,Bomet,,,female
Q5056517,Cecily Mbarire,Q7193584,The National Alliance,,Runyenjes,,,female
Q47493925,Charles Gumini Gimose,Q22666177,Federal Party of Kenya,,Hamisi,,,male
,Charles Mongare Geni,Q1640905,Orange Democratic Movement,,North Mugirango,,,male
Q47494778,Charles Muriuki Njagagua,Q15980825,Alliance Party of Kenya,,Mbeere North,,,male
Q5081173,Charles Nyamai,Q5251223,Wiper democratic Movement Kenya,,Kitui Rural,,,male
Q47494460,Chrisantus Wamalwa Wakhungu,Q5473121,Ford Kenya,,Kiminini,,,male
Q47495156,Chrisropher Doye Nakuleu,Q7889105,United Republican Party,,Turkana North,,,male
Q47490071,Christine Oduor Ombaka,Q1640905,Orange Democratic Movement,,Siaya,,,female
Q47493956,Christopher Omulele,Q1640905,Orange Democratic Movement,,Luanda,,,male
Q15733971,Col (Rtd) Ali Rasso Dido,Q7889105,United Republican Party,,Saku,,,male
Q47493985,Cornelly Serem,Q7889105,United Republican Party,,Aldai,,,male
Q47494314,Cyprian Kubai Iringo,Q1640905,Orange Democratic Movement,,Igembe Central,,,male
Q5211525,Dalmas Otieno,Q1640905,Orange Democratic Movement,,Rongo,,,male
Q47495163,Daniel Epuyo Nanok,Q7889105,United Republican Party,,Turkana West,,,male
,Daniel Kazungu Muzee,Q327591,Independent,,Malindi,,2015-11-28,male
Q47494709,Daniel Kitonga Maanzo,Q5251223,Wiper democratic Movement Kenya,,Makueni,,,male
Q47495190,Daniel Wanyama Sitati,Q7007666,New Ford Kenya,,Webuye West,,,male
Q5240969,David Aoko Were,Q7007666,New Ford Kenya,,Matungu,,,male
Q47493905,David Gikaria,Q7193584,The National Alliance,,Nakuru Town East,,,male
Q47494744,David Kangongo Bowen,Q7889105,United Republican Party,,Marakwet East,,,male
,David Karithi,Q7193584,The National Alliance,,Tigania West,,,male
Q47493935,David Njuguna Kiaraho,Q7193584,The National Alliance,,Ol Kalou,,,male
,David Ouma Ochieng',Q1640905,Orange Democratic Movement,,Ugenya,,,male
,David Wafula Wekesa,Q7007666,New Ford Kenya,,Saboti,,,male
,Dennis Kariuki Waweru,Q7193584,The National Alliance,,Dagoretti South,,,male
,Dennitah Ghati,Q1640905,Orange Democratic Movement,,Migori,,,female
,Diriye Abdullahi Mohamed,Q1640905,Orange Democratic Movement,,Wajir South,,,male
,Dorcas Luvalitsa Kedogo,Q1640905,Orange Democratic Movement,,Vihiga,,,female
Q47494506,Rachael Kaki Nyamai,Q3130920,National Rainbow Coalition,,Kitui South,,,female
,Chris Munga Nyamaratandi Bichage,Q1640905,Orange Democratic Movement,,Nyaribari Chache,,2013-12-01,male
Q5233422,David Eseli Simiyu,Q5473121,Ford Kenya,,Tongaren,,,male
Q47494669,Enoch Kibunguchy,Q1640905,Orange Democratic Movement,,Likuyani,,,male
,Hellen Sambili,Q1422517,Kenya African National Union,,Mogotio,,,female
Q6140626,James Gesami,Q1640905,Orange Democratic Movement,,West Mugirango,,,male
Q47494393,James Kipkosgei Murgor,Q7889105,United Republican Party,,Keiyo North,,,male
Q47493920,James Nyikal,Q1640905,Orange Democratic Movement,,Seme,,,male
