item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q4663137,Ababu Namwamba,Q1640905,Orange Democratic Movement,,,2013-03-28,2017-08,male,Q4663137-60530978-0EDE-4FE3-B617-ECBAD1D05C30
Q16864850,Abdul Rahim Dawood,Q15980825,Alliance Party of Kenya,,,2013-03-28,2017-08,male,Q16864850-6CDFB2E5-5AAF-4D95-BEA2-EB842D9107D3
Q47494822,Abdullswamad Sheriff Nassir,Q1640905,Orange Democratic Movement,,,2013-03-28,2017-08,,Q47494822-EB690B68-A141-4FDE-9C6D-F3D87CC36DE7
Q4680594,Adan Keynan Wehliye,Q1640905,Orange Democratic Movement,,,2013-03-28,2017-08,male,Q4680594-1727DE6D-CDE4-4C7A-B8A4-8A544EFA6889
Q4682154,Aden Bare Duale,Q7889105,United Republican Party,,,2013-03-28,2017-08,male,Q4682154-9D2897C3-487D-4CAD-9607-9B79B7511A70
Q4696013,Ahmed Shakeel Shabbir Ahmed,Q1640905,Orange Democratic Movement,,,2013-03-28,2017-08,male,Q4696013-D20DF363-1314-41C2-A221-061B8A889453
Q47494720,Aisha Jumwa Karisa Katana,Q1640905,Orange Democratic Movement,,,2013-03-28,2017-08,female,Q47494720-5AAC69CD-9C69-43AF-979E-AACCD60F70C1
Q4717538,Alex Muthengi Mwiru,Q7889105,United Republican Party,,,2013-03-28,2017-08,male,Q4717538-A9B43F75-104C-4D4E-BEED-FF316E7D3EDF
Q47494265,Alexander Kimutai Kigen Kosgey,Q7889105,United Republican Party,,,2013-03-28,2017-08,male,Q47494265-BBCC5A22-E1F5-40BA-B5FD-4FD00EF8F021
Q47493940,Alfred Agoi Masadia,Q7887687,United Democratic Forum,,,2013-03-28,2017-08,male,Q47493940-DE570368-2302-420A-9A11-525D8F85B0FA
Q47494850,Alfred Kiptoo Keter,Q7889105,United Republican Party,,,2013-03-28,2017-08,male,Q47494850-EF604BC9-F0B4-4172-AAFB-9085856185CA
Q4723395,Alfred Sambu,Q7887687,United Democratic Forum,,,2013-03-28,2017-08,male,Q4723395-10859719-3B6A-45FE-8897-95C6F4EFDBDE
Q15733971,Ali Rasso Dido,Q7889105,United Republican Party,,,2013-03-28,2017-08,male,Q15733971-DD6E351E-9F5E-476D-972F-C9FE1D260CA8
Q47493953,Ali Wario,Q7193584,The National Alliance,,,2013-03-28,2017-08,male,Q47493953-BBD2438A-554E-4665-811F-9F4A1C925E1C
Q26923586,Alice Muthoni Wahome,Q7193584,The National Alliance,,,2013-03-28,2017-08,female,Q26923586-A531E989-8D71-4344-AAF2-7094F8EC617B
Q47494993,Alois Musa Lentoimaga,Q7193584,The National Alliance,,,2013-03-28,2017-08,male,Q47494993-BA0C6ADC-8D93-439A-B855-545E45441380
