@@,itemlabel,item,startdate,enddate
+++,Mbiyu Koinange,Q6799700,1964,1967
+++,J.D Otiende,,1964,1964
+++,Joseph Nyaga.,Q6285854,1967,1967
+++,J.G Kiano,,1968,1969
+++,Taita Arap Towett,,1973,1979
+++,Zachary Onyonka,Q8063982,1975,1975
+++,Moses Mudavadi,Q121708,1979,1979
+++,Joseph Kamotho,Q16730551,1980,1983
+++,Jonathan Ng’eno.,,1980,1985
+++,Peter Oloo Aringo.,Q7176221,1986,2001
+++,Kalonzo Musyoka,Q1395018,1998,2001
+++,Henry Koskey,Q5724462,1999,2002
+++,Sam Ongeri,Q4705081,2008,2012
+++,Mutula Kilonzo,Q15993157,2012,2013
->,Jacob Kaimenyi,Q16151791,2013-04-25->2013,2015-11-22->2015
->,Fred Matiangi->Fred Matiang’i.,Q16866738,2013-05-15->2016,2018-01-26->2017
->,Amina Mohamed->Amina Mohammed,Q4746345,2018-02-05->2018,2019-03-02->2018
->,George Magoha,Q46835085,2019-03-26->2018,NULL->2018
