item,itemLabel,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q111189201,Adolf Muchiri,,,,,1997,,,Q111189201-870E2857-CDDC-4026-8E02-273005D57633
Q4897658,Beth Wambui Mugo,,,,,2007,2013,female,Q4897658-0D4F6F73-4C5F-4160-AEEB-870BEE86B7E4
Q346046,Elijah Lagat,,,Q17085425,Emgwen Constituency,2007,2013,male,Q346046-C97CE673-9865-4684-90B7-29C258CB7496
Q5363291,Elizabeth Ongoro,,,,,2008-01-15,2013-03,female,Q5363291-23262F38-7CC0-474A-B80E-B7B557389509
Q5495322,Fred Gumo,,,,,1994,2013,male,Q5495322-DFBED507-68B3-4544-959C-32703E84E979
Q6238091,John Harun Mwau,,,Q6408123,Kilome Constituency,2007,2013,male,Q6238091-59480617-4593-953a-2a96-69e15e5c6b08
Q6250396,John Ngata Kariuki,,,,,2007-12,2010-10,male,Q6250396-E5550E9C-A3EE-4C20-9BF3-13429F9FD252
Q1395018,Kalonzo Musyoka,,,Q1722597,Kitui County,1985,2013,male,Q1395018-1C860AAC-A76F-452D-92F2-D1CEE0DF93A6
Q3295164,Martha Karua,,,,,1992,2013,female,Q3295164-326CC47C-A82B-49ED-8543-B5F8C0A005AE
Q6848880,Mike Sonko,,,,,2010,2013,male,Q6848880-A058E375-473B-4196-94E7-91E9CD388ED9
Q1030776,Mohamed Yusuf Haji,,,,,2003,2013-03,male,Q1030776-8B12143A-50CA-4382-B1C0-9220A6AD87D7
Q57291,Mwai Kibaki,,,Q7108565,Othaya,1974,2013,male,Q57291-AE2C317E-89C3-45CA-92F9-CFD3414E88A4
Q7108730,Otieno Kajwang,,,,,1998,2013,male,Q7108730-079D4C2A-D3D0-45D4-9EA8-A1CCF7B514DD
Q57657,Raila Odinga,,,,,1992-12-29,2013-01-17,male,Q57657-866435BD-55BB-4EA1-9AC2-24F2726E9931
Q196070,Uhuru Kenyatta,,,,,2003-01,2013-01,male,Q196070-85C47D2F-678C-4A52-94AF-0F2F912F6233
Q447119,Wesley Korir,,,Q5091828,Cherangany Constituency,2013,2017-07-16,male,Q447119-C648640F-352F-4045-B736-36B3E8948CFE
Q111189204,William Omondi,,,,,2002,,,Q111189204-BA0A1FA7-D6A7-470E-BF86-1552FC318FB1
