item,itemLabel,constituency,constituencyLabel,party,partyLabel
Q4897658,Beth Mugo,Q5208646,Dagoretti,Q2559675,PNU
Q2662202,Mugabe Were,Q5369415,Embakasi,Q1640905,ODM
Q5363291,Elizabeth Ongoro,Q6374034,Kasarani,Q1640905,ODM
Q57657,Raila Odinga,Q6485732,Langata,Q1640905,ODM
Q3706976,Dickson Wathika,Q6738586,Makadara,Q2559675,PNU
Q6759998,Margaret Wanjiru,Q7601801,Starehe,Q1640905,ODM
Q5495322,Fred Gumo,Q3955339,Westlands,Q1640905,ODM
Q29572473,Simon Mbugua,Q6359828,Kamukunji,Q2559675,PNU
Q7175166,Peter Kenneth,Q5526949,Gatanga,Q2559675,PNU
Q5131357,Clement Kungu Waibara,Q5527547,Gatundu North,,PICK
Q196070,Uhuru Kenyatta,Q5527549,Gatundu South,Q1422517,KANU
Q3295164,Martha Karua,Q5559477,Gichugu,Q2559675,PNU
Q7176115,Peter Njoroge Baiya,Q5565112,Githunguri,,SAFINA
Q5545223,George Thuo,Q6305268,Juja,Q2559675,PNU
Q6138825,James Maina Kamau,Q6361325,Kandara,Q2559675,PNU
Q6248686,John Michuki,Q6362689,Kangema,Q2559675,PNU
Q7599814,Stanley Munga Githunguri,Q6403727,Kiambaa,Q1422517,KANU
Q6961671,Namesyus Warugongo,Q6405311,Kieni,Q2559675,PNU
Q6147903,Jamleck Irungu Kamau,Q6405979,Kigumo,Q2559675,PNU
Q4861331,Barnabas Muturi Mwangi,Q6406003,Kiharu,Q7530800,SISI KWA SISI
Q6536911,Lewis Nguyai Nganga,Q6406448,Kikuyu,Q2559675,PNU
Q5237863,David Mwaniki Ngugi,Q6410379,Kinangop,Q7530800,SISI KWA SISI
Q2843930,Amos Kimunya,Q13122881,Kipipiri,Q2559675,PNU
Q6250396,John Ngata Kariuki,Q6415320,Kirinyaga Central,,FORD A
"",David Njuguna Kiburi Mwaura,Q6489334,Lari,,PPK
"",Peter Mungai Mwathi,Q10978796,Limuru,,FORD P
Q5360552,Peter Mbau Elias,Q6754641,Maragwa,Q2559675,PNU
Q5131380,Clement Muchiri Wambugu,Q6787280,Mathioya,Q2559675,PNU
Q5382308,Ephraim Mwangi Maina,Q6787283,Mathira,,SAFINA
Q6343844,Kabando wa Kabando,Q6933680,Mukurweini,,SAFINA
Q7176118,Peter Njuguna Gitau,Q6944711,Mwea,Q2559675,PNU
Q6180925,Jeremiah Ngayu Kioni,Q6983699,Ndaragwa,Q2559675,PNU
Q7353047,Robinson Njeru Githae,Q6983741,Ndia,Q2559675,PNU
Q5401255,Esther Murugi Mathenge,Q7071069,Nyeri Town,Q2559675,PNU
Q5385013,Erastus Kihara Mureithi,Q7082829,Ol Kalou,Q2559675,PNU
Q57291,Mwai Kibaki,Q7108562,Othaya,Q2559675,PNU
Q5482591,Francis Thombe Nyamo,Q7706991,Tetu,Q2559675,PNU
Q1372633,Gitobu Imanyaara,Q5061241,Central Imenti,Q5069325,CCU
Q6943746,Mutava Musyimi,Q5516225,Gachoka,Q2559675,PNU
Q7067636,Ntoitha M'mithiaru,Q5991642,Igembe North,Q2559675,PNU
Q5491660,Franklin Linturi,Q5991645,Igembe South,Q1422517,KANU
Q6893179,Mohammed Kuti,Q17088189,Isiolo North,,NARC KENYA
Q4665260,Abdul Ali,Q6081154,Isiolo South,Q1422517,KANU
Q5559630,Gideon Ndambuki,Q6348628,Kaiti,Q5251223,ODM K
Q6268381,Johnson Nduya Muthama,Q13123144,Kangundo,Q5251223,ODM K
Q30323725,Ndeti Wavinya,Q6376607,Kathiani,Q5069325,CCU
Q16730543,Philip Kaloki,Q6404097,Kibwezi,Q5251223,ODM K
Q6238091,John Harun Mwau,Q6408123,Kilome,,PICK
Q539821,Charity Ngilu,Q10981053,Kitui Central,Q3130920,NARC
Q6076813,Issac Mulatya Muoki,Q6418636,Kitui South,Q5251223,ODM K
Q5081173,Charles Mutisya Nyamai,Q6418638,Kitui West,Q3130920,NARC
Q16499778,Joseph Lekuton,Q6474135,Laisamis,Q1422517,KANU
Q7926175,Victor Munyaka,Q13123147,Machakos Town,Q5251223,ODM K
Q7175181,Peter Kiilu,Q6740441,Makueni,Q5251223,ODM K
Q5371996,Emillio Kathuli,Q6753394,Manyatta,,DP
Q16226678,Benson Mbai Itwiku,Q6783288,Masinga,Q5251223,ODM K
Q15993157,Mutula Kilonzo,Q6799757,Mbooni,Q5251223,ODM K
Q4725044,Ali Mohamud Mohamed,Q6927587,Moyale,Q1640905,ODM
Q6405280,Julius Kiema Kilonzo,Q6943975,Mutito,Q5251223,ODM K
Q5218210,Daniel Muoki,Q6944627,Mwala,Q5251223,ODM K
Q1395018,Kalonzo Musyoka,Q6944742,Mwingi North,Q5251223,ODM K
Q1175814,David Musila,Q6944744,Mwingi South,Q5251223,ODM K
Q16730588,Mbiuki Japhet Kareke,Q7041262,Nithi,Q1422517,KANU
Q5480460,Francis Chachu,Q7055666,North Horr,Q1640905,ODM
Q7514201,Silas Muriuki,Q7055691,North Imenti,,Mazingira
Q5056517,Cecily Mutitu Mbarire,Q7380154,Runyenjes,Q2559675,PNU
Q7425832,Sasura Hussein Tarry,Q7403129,Saku,Q5251223,ODM K
Q6418830,Kivuti Maxwell,Q14475849,Siakago,,SAFINA
Q6414781,Kiraitu Murungi,Q7567524,South Imenti,Q2559675,PNU
Q4717538,Alex Muthengi Mwiru,Q7710732,Tharaka,Q2559675,PNU
Q7175990,Peter Munya,Q7801321,Tigania East,Q2559675,PNU
Q6406813,Mwiria Valerian Kilemi,Q7801319,Tigania West,Q2559675,PNU
Q5079790,Mutavi Charles Kilonzo,Q8050290,Yatta,Q5251223,ODM K
Q7563913,Ojaamongson Sospeter Odeke,Q4739141,Amagoro,Q1640905,ODM
Q4663137,Pius Tawfiq Namwamba Ababu,Q4984030,Budalangi,Q1640905,ODM
Q16152027,Sylvester Wakoli Bifwoli,Q4997372,Bumula,Q2559675,PNU
Q8039607,Wycliffe Oparanya,Q5002502,Butere,Q1640905,ODM
Q4723231,Bwire Alfred Odhiambo,Q5003161,Butula,Q1640905,ODM
Q2607345,Kenneth Marende,Q5374869,Emuhaya,Q1640905,ODM
Q7152844,Otuoma Paul Nyogesa,Q5509429,Funyula,Q1640905,ODM
Q5541326,George Haniri,Q5645412,Hamisi,Q1640905,ODM
Q4942502,Bonny Khalwale,Q5996095,Ikolomani,,NEW FORD KENYA
Q4723008,Alfred Khang'ati,Q6361679,Kanduyi,Q1640905,ODM
Q5415878,Evans Akula,Q6403457,Khwisero,Q1640905,ODM
Q5233422,David Eseli Simiyu,Q6410137,Kimilili,,FORD K
Q5201109,Cyrus Jirongo,Q6699735,Lugari,,KADDU
Q4812751,Atanas Keya,Q6704894,Lurambi,Q1640905,ODM
Q7555005,Soita Shitanda,Q6741420,Malava,,NEW FORD KENYA
Q5240969,David Were,Q17089719,Matungu,Q1640905,ODM
Q5495634,Fred Kapondi,Q6930268,Mt Elgon,Q1640905,ODM
Q4888887,Benjamin Jomo Washiali,Q6935411,Mumias,Q1640905,ODM
Q5107643,Chrysanthus Okemo,Q6961369,Nambale,Q1640905,ODM
Q1954003,Musalia Mudavadi,Q7395935,Sabatia,Q1640905,ODM
Q5080381,Charles Lirechi,Q7497839,Shinyalu,Q1640905,ODM
Q58188,Moses Wetangula,Q7530345,Sirisia,Q2559675,PNU
Q8061937,Yusuf Kifuma Chanzu,Q7929042,Vihiga,Q1640905,ODM
Q4723395,Alfred Sambu,Q7979000,Webuye,Q1640905,ODM
Q5346713,Edwin Ochieng Yinda,Q4714387,Alego,Q1640905,ODM
Q5112986,Christopher Mogere Obure,Q4934581,Bobasi,Q1640905,ODM
"",Joel Onyancha,Q4940343,Bomachoge,,FORD P
Q5081372,Charles Onyancha,Q4941238,Bonchari,Q1640905,ODM
Q2013243,Oburu Odinga,Q4941430,Bondo,Q1640905,ODM
Q7972008,Washington Jakoyo Midiwo,Q5530554,Gem,Q1640905,ODM
Q6799567,Mbadi John Ng'ongo,Q5623354,Gwassi,Q1640905,ODM
Q6137496,James Kwanya Rege,Q6367802,Karachuonyo,Q1640905,ODM
Q6285990,Joseph Oyugi Magwanga,Q6374553,Kasipul Kabondo,Q1640905,ODM
Q7172546,Peter Anyang' Nyong'o,Q13123146,Kisumu Rural,Q1640905,ODM
Q4696013,Ahmed Shakeel Shabbir Ahmed,Q6417349,Kisumu Town East,Q1640905,ODM
Q6251185,John Olago Aluoch,Q6417350,Kisumu Town West,Q1640905,ODM
Q7327862,Richard Momoima,Q6418658,Kitutu Chache,,PDP
"",Walter Enock Nyambati Osebe,Q6418659,Kitutu Masaba,,NLP
Q8001838,Wilfred Gisuka Machage,Q6445965,Kuria,,DP
Q7108730,Gerald Otieno Kajwang,Q6799698,Mbita,Q1640905,ODM
Q6252609,John Pesa Dache,Q6844281,Migori,Q1640905,ODM
Q7146063,Patrick Ayiecho Olweny,Q13651057,Muhoroni,Q1640905,ODM
Q1708590,Joshua Orwa Ojodeh,Q6983737,Ndhiwa,Q1640905,ODM
Q8001849,Moriasi Wilfred Ombui,Q7056156,North Mugirango Borabu,Q1422517,KANU
Q7225856,Pollyins Ochieng Anyango,Q7070809,Nyakach,Q1640905,ODM
Q5498498,Frederick Outa Otieno,Q7070870,Nyando,Q1640905,ODM
Q7348145,Robert Onsare Monda,Q7070906,Nyaribari Chache,Q3130920,NARC
Q4705081,Samson Kagengo Ongeri,Q7070904,Nyaribari Masaba,Q1422517,KANU
Q7173815,Peter Edick Omondi Anyanga,Q7070932,Nyatike,Q1640905,ODM
Q16733644,Martin Otieno Ogindo,Q7292934,Rangwe,Q1640905,ODM
Q7025483,Nicholas Gumbo,Q7294558,Rarieda,Q1640905,ODM
Q5211525,Dalmas Anyango Otieno,Q7365633,Rongo,Q1640905,ODM
Q6140628,James Omingo Magara,Q7568008,South Mugirango,Q1640905,ODM
Q6140639,James Orengo,Q7877730,Ugenya,Q1640905,ODM
Q5200387,Cyprian Ojwang Omollo,Q7900644,Uriri,Q1640905,ODM
Q6140626,James Ondicho Gesami,Q7986042,West Mugirango,Q1640905,ODM
Q4887267,Benedict Fodo Gunda,Q4842461,Bahari,Q1640905,ODM
Q6967675,Nassir Nuh Abdi,Q4998065,Bura,Q5251223,ODM K
Q7288734,Ramadhan Seif Kajembe,Q5071716,Changamwe,Q1640905,ODM
Q16213140,Godhana Dhadho Gaddae,Q5519275,Galole,Q1640905,ODM
"",Francis Bayah,Q5521558,Ganze,,KADU ASILI
Q5221098,Danson Mungatana,Q5524277,Garsen,,NARC KENYA
