item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q100146351,Betty Maina,Q109830229,"CS-Industrialization, Trade and Enterprise Development",2020-03-02,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q100146351-5BE155C7-A872-4741-8D06-586550960C49
Q100146396,Simon Chelugui,Q109830041,"CS, Labour and Social Services",2021-10-19,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q100146396-659E83B5-3C7F-4E37-8F28-88985AF7FEAC
Q12053090,Najib Balala,Q109830162,"CS, Tourism and Wildlife",2013-05-15,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q12053090-0754DA9B-73B3-4E89-94CC-DB5072AC4AD4
Q12170059,Amb. Raychelle Omamo,Q3251813,"CS, Foreign Affairs",2020-01-14,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q12170059-27331900-090B-43EC-BFA8-6077C7F543AF
Q16192784,"Mutahi Kagwe, EGH",Q54208710,"CS, Health",2020-02-28,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q16192784-0187F3F1-352B-4D10-BFD6-8444DB3B8AEE
Q16193227,James Macharia,Q109829814,"CS, Transport and Infrastructure Development",2015-11-24,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q16193227-9CDDA02D-6B0C-4915-8AB1-B2D934027921
Q16866738,Dr. Fred Matiang'i,Q109829681,"CS, Interior and Coordination of National Government",2017-07-08,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q16866738-DE5EC227-B87E-4522-B183-9A7006EA1581
Q2189073,Raphael Tuju,Q109830221,Cabinet Secretary,2018-01-26,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q2189073-41282C33-1351-4CEF-95C1-427C7EF4FE73
Q4682172,Adan Mohammed,Q109829613,"CS, East African Community and Northern Corridor Development",2018-07-13,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q4682172-D413F261-C861-4B35-AAE4-958E1469DCA1
Q46835085,"Prof. George A. O. Magoha, CBS",Q109829631,"CS, Education",2019-03-26,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q46835085-DF6B773A-4FC1-40A7-BCBB-FF4CBE835013
Q4746345,Amb. Amina Mohamed,Q109829636,"CS, Sports and Heritage",2019-03-02,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q4746345-FAD42FA8-EBF2-4C22-B2AA-D4CA3B6DBACB
Q47513060,Sicily Kanini Kariuki,Q109829715,CS-Water and Sanitation and Irrigation,2020-01-14,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q47513060-2A19A7FC-526F-4916-9D1C-98016A576DB8
Q47531099,Amb. Monica Juma,Q109830367,CS-Energy,2021-09-30,,https://cabinetoffice.go.ke/current-cabinet/,2022-07-28,Q47531099-89910C42-0405-45F5-8788-C73F3DEE7B22
Q47539824,Prof. Margaret Kobia,Q109830190,"CS, Public Service and Gender Affairs",2018-01-26,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q47539824-50DBF193-2CDC-436D-BDAC-C68722E6E64A
Q47823441,Farida Karoney,Q109829713,"CS, Lands",2018-01-26,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q47823441-DA6E5542-FDCC-4713-8C8E-8A0AE90A8637
Q48472383,Ukur Yattani,Q109829709,"CS, National Treasury and Planning",2020-01-14,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q48472383-25B8066A-1AAC-4C49-980B-46B53CFD6037
Q48818015,Paul Kihara Kariuki,Q4818637,Attorney General of Kenya,2018-02-13,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q48818015-BD554709-502D-4907-94EC-311C5F550BB2
Q5407838,Eugene Wamalwa,Q54211708,"CS, Defence",2021-09-29,,https://cabinetoffice.go.ke/current-cabinet/,2022-07-28,Q5407838-46894C17-BD07-47A0-9545-C3C02FFC4209
Q6249843,John Munyes,Q109829692,"CS, Petroleum and Mining",2018-01-05,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q6249843-8168A4DB-4778-42D5-8691-2590EC37B36D
Q6285671,Joe Mucheru,Q109829876,"CS-ICT, Innovation and Youth Affairs",2015-11-25,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q6285671-7E6E17F1-8F55-4294-856E-42481DEC1576
Q6393880,Keriako Tobiko,Q62079958,"CS, Environment and Forestry",2018-01-27,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q6393880-9AFABAC6-5CA8-4929-B866-0DE8AE63B2E0
Q7175990,Peter Munya,Q54196797,"CS, Agriculture, Livestock, Fisheries and Coop",2020-01-14,,https://cabinetoffice.go.ke/current-cabinet/,2021-11-30,Q7175990-BA3A1C55-5367-48CC-98CF-CFC9E78F21BF
