@@,itemlabel,item,startdate,enddate
+++,H. Edgar Henderson,,1923,1924
+++,Charles Udall,,1924,1925
+++,James Riddell,,1925,1927
+++,Alfred Thomas Wood,,1927,1929
+++,Charles Udall,,1929,1930
+++,Franze Rudolf Mayer,,1930,1931
+++,James Riddell,,1931,1933
+++,Joseph Mortimer,,1933,1934
+++,Edward (George) Gwinnett Bompas,,1934,1936
+++,Alfred Thomas Wood,,1936,1937
+++,Joseph Mortimer,,1937,1938
+++,Charles Udall,,1942,1944
+++,Tyson George Alfred,,1946,1947
+++,Frederick George Richard Woodley,,1949,1950
+++,Norman Harris,,1950,1952
+++,Dr. J.R. Gregory,,1952,1953
+++,Harold Travis,,1953,1954
+++,Reggie S. Alexander,,1954,1955
+++,Marjorie Needham-Clarke,,1959,1960
+++,Harold Travis,,1961,1962
+++,Isack Lugonzo,,1967,1970
->,Margaret Kenyatta-> Margaret Kenyatta,Q5360612,1970,1976
+++,Andrew Ngumba,,1977,1980
+++,Nathan Kahara,,1980,1983
+++,Abolished,,1983,1992
+++,Steve Flavian Mwangi,,1993,1994
+++,Dick Waweru,,1994,1996
+++,John King'ori,,1996,1998
+++,Sammy Mbugua,,1998,1999
->,John Ndirangu Kariuki->John Ndirangu,Q111177826->NULL,1999,2001
->,Dick Waweru,Q111177824->NULL,2001,2002
->,Joe Aketch,Q111177823->NULL,2003,2004
->,Dick Wathika->Dickson Wathika,Q3706976,2004,2008
---,George Aladwa Omwera,Q47494704,2010,2012
+++,George Aladwa,,2011,2013
