@@,itemlabel,item,startdate,enddate
+++,James Gichuru,Q6134603,1963,1969
+++,Arthur Magugu,Q710549,1982,1986
->,George Saitoti,Q733817,1990->1986,2002->1992
+++,Musalia Mudavadi,Q1954003,1993,1997
+++,Simeon Nyachae,Q2287087,1998,1999
+++,Francis Masakhalia,Q5481874,1999-02,1999-08
+++,Chris Okemo,Q5107643,1999-09,2001-11
+++,Christopher Obure,Q5112986,2001-11,2002-12
+++,Daudi Mwiraria,Q5237864,2003-01,2006-02
+++,Amos Kimunya,Q2843930,2006-02,2008
+++,John Michuki,Q6248686,2008,2009
->,Uhuru Kenyatta,Q196070,2009-01-23->2009,2012-01-26->2011
->,Henry Rotich,Q12012313,2013-05-15,2020-01-14->2019-07-22
+++,Ukur Yatani Kanacho,Q48472383,2020-01-14,
