county,countyLabel,deputy,deputyLabel,start
Q1112885,Mombasa,"",Dr. William Kingi,2017-08-08
Q952571,Kwale,"",Fatuma Mohamed Achani,2017-08-08
Q1741307,Kilifi,"",Kenneth Mwakombo Kamto,2017-08-08
Q383150,Tana River,"",Jire Siyat Mohamed,2017-08-08
Q1951652,Lamu,"",Abdulhakim Aboud Bwana,2017-08-08
Q7193788,Taita-Taveta,"",Majala Mlagui Delina,2017-08-08
Q1494292,Garissa,"",Dagame Abdi,2017-08-08
Q1852209,Wajir,"","",2017-08-08
Q1477874,Mandera,"",Mohamed Ahmed Arai,2017-08-08
Q1323683,Marsabit,"",Solomon Gubo Riwe,2017-08-08
Q1499046,Isiolo,"",Dr. Ibrahim Abdi Issa,2017-08-08
Q15045704,Meru,"",Titus Ntuchiu,2017-08-08
Q2189432,Tharaka,"",Francis Nyamu Kagwima,2017-08-08
Q1335242,Embu,"",David Kariuki Njeru,2017-08-08
Q1722597,Kitui,"",Dr. Wathe Nzau,2017-08-08
Q1882639,Machakos,"",Eng. Francis Maliti,2017-08-08
Q473717,Makueni,"",Adelina Ndeto Mwau,2017-08-08
Q1714352,Nyandarua,"",Cecilia Wanjiru Mbuthia,2017-08-08
Q749665,Nyeri,"",Caroline Karugu,2017-08-08
Q2230311,Kirinyaga,"",Peter Ndambiri,2017-08-08
Q1781723,Murang'a,"",Augustine J Gakure Monyo,2017-08-08
Q2575594,Kiambu,"",Joyce Ngugi,2017-08-08
Q1633078,Turkana,"",Peter Lotethiro Emuria,2017-08-08
Q590860,West Pokot,"",Dr. Nicholas Atudonyang,2017-08-08
Q2096419,Samburu,"",Julius Leseeto,2017-08-08
Q1278653,Trans-Nzoia,"",Stanley Kiptoo Kenei Tarus,2017-08-08
Q1121429,Uasin Gishu,"",Daniel Kiplagat Kiprotich,2017-08-08
Q15216433,Elgeyo-Marakwet,"",Gabriel Lagat Kosgey,2017-08-08
Q1964569,Nandi,"",Dr Yulita Jebotip Cheruiyot Mitei,2017-08-08
Q808201,Baringo,"",Jacob Kurui Chepkwony,2017-08-08
Q1800699,Laikipia,"",John Mwaniki,2017-08-08
Q1852202,Nakuru,"",Erick Korir,2017-08-08
Q1852220,Narok,"",Aruasa Evalyn Chepkirui,2017-08-08
Q285072,Kajiado,"",Martin Moshisho,2017-08-08
Q1739252,Kericho,"",Susan Chepkoech Kikwai,2017-08-08
Q891952,Bomet,"",David Shadrack Rotich,2017-08-08
Q1721867,Kakamega,"",Philip Museve Kutima,2017-08-08
Q1313202,Vihiga,"",Dr. Patrick Lumumba Saisi,2017-08-08
Q2928204,Bungoma,"",Prof. Charles Ngome Kibanani,2017-08-08
Q1017519,Busia,"",Solomon Abwaku Akadake,2017-08-08
Q3482913,Siaya,"",Wilson Ouma Onyango,2017-08-08
Q1743809,Kisumu,"",Mathews Owili,2017-08-08
Q1625834,Homa Bay,"",Hamiliton Onyango Orata,2017-08-08
Q429955,Migori,"",Nelson Mahanga Mwita,2017-08-08
Q1743730,Kisii,"",Arthur Maangi Gongera,2017-08-08
Q1569613,Nyamira,"","",2017-08-08
Q3335223,Nairobi,"","",2017-08-08
